CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
178931;TRES;ENVASES;PUENTE DE VALLECAS;1;
178931;TRES;ORGANICA;PUENTE DE VALLECAS;1;
178931;TRES;RESTO;PUENTE DE VALLECAS;1;
178939;TRES;ENVASES;PUENTE DE VALLECAS;1;
178939;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179124;TRES;ENVASES;PUENTE DE VALLECAS;1;
179124;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179108;TRES;ENVASES;PUENTE DE VALLECAS;1;
179402;TRES;ENVASES;USERA;1;
179402;TRES;RESTO;USERA;1;
179108;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179102;TRES;ENVASES;PUENTE DE VALLECAS;1;
179102;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179103;TRES;ENVASES;PUENTE DE VALLECAS;1;
179103;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179109;TRES;ENVASES;PUENTE DE VALLECAS;1;
179109;TRES;VIDRIO;PUENTE DE VALLECAS;1;
178954;TRES;ORGANICA;PUENTE DE VALLECAS;1;
178954;TRES;RESTO;PUENTE DE VALLECAS;1;
179169;TRES;ENVASES;PUENTE DE VALLECAS;1;
179169;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179169;TRES;RESTO;PUENTE DE VALLECAS;1;
179183;TRES;ENVASES;PUENTE DE VALLECAS;1;
179183;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179184;TRES;ENVASES;PUENTE DE VALLECAS;1;
179184;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179185;TRES;ENVASES;PUENTE DE VALLECAS;1;
179185;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179021;TRES;ENVASES;VILLAVERDE;1;
179021;TRES;ORGANICA;VILLAVERDE;1;
179021;TRES;RESTO;VILLAVERDE;1;
179021;TRES;RESTO;VILLAVERDE;1;
178968;TRES;ENVASES;VILLAVERDE;1;
178968;TRES;ORGANICA;VILLAVERDE;1;
178968;TRES;RESTO;VILLAVERDE;1;
178969;TRES;ENVASES;VILLAVERDE;1;
178969;TRES;ORGANICA;VILLAVERDE;1;
178969;TRES;RESTO;VILLAVERDE;1;
179429;TRES;ENVASES;USERA;1;
179429;TRES;RESTO;USERA;1;
179029;TRES;ENVASES;VILLAVERDE;1;
179029;TRES;VIDRIO;VILLAVERDE;1;
179085;TRES;ENVASES;VILLAVERDE;1;
179085;TRES;ORGANICA;VILLAVERDE;1;
179085;TRES;RESTO;VILLAVERDE;1;
179037;TRES;ENVASES;VILLAVERDE;1;
179037;TRES;VIDRIO;VILLAVERDE;1;
179126;TRES;ENVASES;VILLAVERDE;1;
179126;TRES;VIDRIO;VILLAVERDE;1;
179177;TRES;ENVASES;PUENTE DE VALLECAS;1;
179177;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179177;TRES;RESTO;PUENTE DE VALLECAS;1;
179179;TRES;ENVASES;PUENTE DE VALLECAS;1;
179179;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179179;TRES;RESTO;PUENTE DE VALLECAS;1;
179179;TRES;RESTO;PUENTE DE VALLECAS;1;
178964;TRES;ENVASES;CARABANCHEL;1;
178964;TRES;RESTO;CARABANCHEL;1;
179077;TRES;RESTO;CARABANCHEL;1;
179384;TRES;ENVASES;CARABANCHEL;1;
179384;TRES;RESTO;CARABANCHEL;1;
179249;TRES;ENVASES;CARABANCHEL;1;
179249;TRES;RESTO;CARABANCHEL;1;
179450;TRES;ENVASES;CARABANCHEL;1;
179450;TRES;RESTO;CARABANCHEL;1;
179450;TRES;RESTO;CARABANCHEL;1;
179143;TRES;ENVASES;CARABANCHEL;1;
179143;TRES;VIDRIO;CARABANCHEL;1;
179241;TRES;RESTO;CARABANCHEL;1;
179309;TRES;RESTO;CARABANCHEL;1;
179081;TRES;ENVASES;VILLAVERDE;1;
179081;TRES;ORGANICA;VILLAVERDE;1;
179081;TRES;RESTO;VILLAVERDE;1;
179370;TRES;ENVASES;CARABANCHEL;1;
179370;TRES;RESTO;CARABANCHEL;1;
179376;TRES;ENVASES;CARABANCHEL;1;
179376;TRES;RESTO;CARABANCHEL;1;
179385;TRES;ENVASES;CARABANCHEL;1;
179385;TRES;RESTO;CARABANCHEL;1;
179371;TRES;ENVASES;CARABANCHEL;1;
179371;TRES;RESTO;CARABANCHEL;1;
178965;TRES;ENVASES;CARABANCHEL;1;
178965;TRES;RESTO;CARABANCHEL;1;
179471;TRES;ENVASES;PUENTE DE VALLECAS;1;
179471;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179471;TRES;RESTO;PUENTE DE VALLECAS;1;
179471;TRES;RESTO;PUENTE DE VALLECAS;1;
178961;TRES;RESTO;CARABANCHEL;1;
178961;TRES;RESTO;CARABANCHEL;1;
178961;TRES;RESTO;CARABANCHEL;1;
179324;TRES;ENVASES;CARABANCHEL;1;
179324;TRES;VIDRIO;CARABANCHEL;1;
179253;TRES;ENVASES;CARABANCHEL;1;
179253;TRES;RESTO;CARABANCHEL;1;
179150;TRES;ENVASES;CARABANCHEL;1;
179150;TRES;RESTO;CARABANCHEL;1;
179152;TRES;RESTO;CARABANCHEL;1;
179316;TRES;ENVASES;CARABANCHEL;1;
179326;TRES;ENVASES;CARABANCHEL;1;
179331;TRES;ENVASES;CARABANCHEL;1;
179343;TRES;ENVASES;CARABANCHEL;1;
179351;TRES;ENVASES;PUENTE DE VALLECAS;1;
179362;TRES;ENVASES;CARABANCHEL;1;
179363;TRES;ENVASES;CARABANCHEL;1;
179401;TRES;ENVASES;PUENTE DE VALLECAS;1;
179412;TRES;ENVASES;CARABANCHEL;1;
179413;TRES;ENVASES;CARABANCHEL;1;
179414;TRES;ENVASES;PUENTE DE VALLECAS;1;
179422;TRES;ENVASES;CARABANCHEL;1;
179432;TRES;ENVASES;CARABANCHEL;1;
179445;TRES;ENVASES;CARABANCHEL;1;
179462;TRES;ENVASES;CARABANCHEL;1;
179476;TRES;ENVASES;PUENTE DE VALLECAS;1;
179496;TRES;ENVASES;PUENTE DE VALLECAS;1;
179364;TRES;ENVASES;CARABANCHEL;1;
179446;TRES;ENVASES;CARABANCHEL;1;
179365;TRES;ENVASES;CARABANCHEL;1;
179447;TRES;ENVASES;CARABANCHEL;1;
179403;TRES;ENVASES;USERA;1;
